,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.212747538,1.213558379,0.562034851,0.350697449,0.462235699,0.799675426,1.140136095,0.991183647,0.485388422,0.298887174,0.309423347,0.249968072,0.163570365,0.142004083,0.087250182,0.05033621
X2,1.159069136,6.168200378,1.432052232,0.409715488,0.230254812,0.59689074,1.050655412,1.149836921,0.856416935,0.338817844,0.236379641,0.203303543,0.17131205,0.137276633,0.065900499,0.053909738
X3,0.372957342,2.181352569,8.921148519,1.128087063,0.423353021,0.363333728,0.655894077,1.009817136,1.103951419,0.567162084,0.317914087,0.167544351,0.107061686,0.11854469,0.086696483,0.075615665
X4,0.204860531,0.515110588,3.138131303,10.36094412,1.85680519,0.899311726,0.746647585,1.005063002,1.196362144,1.023268367,0.544622692,0.232785214,0.092707806,0.075364588,0.04238074,0.030174839
X5,0.301931596,0.253692093,0.384364642,2.921916762,4.566345809,1.947082871,1.327470187,1.183671404,0.984083649,1.094875558,0.755030998,0.398344032,0.112329339,0.055800012,0.059460525,0.051582125
X6,0.620744369,0.37787278,0.228722825,0.983540079,2.242096947,3.598702204,1.951485124,1.502618446,1.230030453,0.99636398,0.929822046,0.479171258,0.151955561,0.058483546,0.031666648,0.023268691
X7,0.753411596,1.07948337,0.820107817,0.585458423,1.159200661,1.902304763,3.071596318,1.953290616,1.458418886,1.111862987,0.83947527,0.541730138,0.214835358,0.098895939,0.051134291,0.050080945
X8,0.717507578,1.164868537,0.995162219,0.863691622,0.81113219,1.447704577,1.815088423,2.982303996,1.977680343,1.257922687,0.908261779,0.449675783,0.236680681,0.158256301,0.09031666,0.037985781
X9,0.358966809,0.740479408,0.993153444,1.157702733,0.93989478,1.230139858,1.591257628,1.774535801,2.494541878,1.501290896,1.062648118,0.364145379,0.181032726,0.111883417,0.077745359,0.036573473
X10,0.38538294,0.544528107,0.68417222,1.480921442,0.884226711,1.007420428,1.237183393,1.389548219,1.418840723,1.841787975,1.011605906,0.442786673,0.141105,0.07848643,0.070514715,0.067828386
X11,0.314194081,0.662829763,0.954185658,1.270202545,0.980572321,1.296255751,1.232742034,1.199945346,1.530267839,1.616261735,1.691210745,0.750274894,0.232668537,0.106572444,0.075681516,0.06925113
X12,0.599621187,0.788004459,0.711679096,0.9015347,0.728591345,1.149505844,1.212206012,0.943053632,1.00093303,0.855123579,1.024944174,1.218507738,0.410876315,0.185861325,0.091979932,0.06598931
X13,0.501681072,0.493720937,0.358364014,0.479614583,0.403900991,0.580775803,0.702353542,0.733037667,0.540340269,0.436100986,0.438492893,0.547938777,0.800203984,0.327370819,0.180767156,0.077554376
X14,0.361193416,0.573002962,0.481590098,0.286952001,0.31919636,0.402707304,0.601076854,0.6348983,0.567937114,0.303207085,0.324945653,0.403139776,0.44242179,0.850039603,0.2488444,0.111242714
X15,0.170920467,0.517624911,0.504189949,0.486699728,0.195199688,0.319416641,0.316385671,0.544773638,0.650457952,0.46726308,0.355595143,0.2916002,0.49418909,0.536336522,0.776734673,0.261766087
X16,0.342399694,0.456980368,0.6904655,0.543942833,0.203852708,0.219511996,0.338981588,0.446943416,0.480029666,0.552800699,0.512838767,0.281337725,0.196031966,0.313577834,0.316386469,0.463844499
